Map1,Map2,Choice,MapVote,Date,FullPartial,Result,Eliminations,Deaths,Score,Damage,TotalXP,PrimaryWeapon,XPType,DidPlayerVote,GameType,Confirms,Denies,Objectives,ObjectiveKills,Captures,Diffuses,Plants,Detonates,Deposits,Time_Sec,Time_Min
Yamantau,Collateral Strike,Collateral Strike,2 to 1,12/11/21,Full,189-250,22,25,3705,576,11699,MG 82,10% Boost,No,HC - Hardpoint,,,,9,,,,,,57,1
Deprogram,Cartel,Deprogram,2 to 2,12/11/21,Full,202-250,20,25,2560,524,16068,MG 82,Double XP + 10%,No,HC - Hardpoint,,,,8,,,,,,35,1
Yamantau,Miami Strike,Yamantau,0 to 0,12/11/21,Full,250-11,7,5,1875,182,13194,MG 82,Double XP + 10%,No,HC - Hardpoint,,,,4,,,,,,8,2
,,Amerika,,12/11/21,Full,250-202,15,24,2405,383,19936,MG 82,Double XP + 10%,No,HC - Hardpoint,,,,1,,,,,,40,1
Moscow,Drive-In,Moscow,1 to 0,12/11/21,Full,224-250,22,30,2520,567,19138,MG 82,Double XP + 10%,No,HC - Hardpoint,,,,14,,,,,,4,1
Crossroads Strike,Express,Express,2 to 1,12/11/21,Full,250-165,24,16,3810,673,25559,MG 82,Double XP + 10%,No,HC - Hardpoint,,,,6,,,,,,4,1
Raid,Diesel,Raid,2 to 1,12/11/21,Full,250-137,28,14,2940,719,22369,MG 82,Double XP + 10%,No,HC - Hardpoint,,,,10,,,,,,9,2
The Pines,Miami Strike,Miami Strike,3 to 2,12/11/21,Full,,,,,,,,,No,HC - Hardpoint,,,,,,,,,,,
,,Crossroads Strike,,12/12/21,Partial,250-134,13,6,960,334,11270,MG 82,10% Boost,No,HC - Hardpoint,,,,1,,,,,,9,0
Yamantau,Collateral Strike,Collateral Strike,2 to 1,12/12/21,Full,100-86,13,16,2205,364,25263,MG 82,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Cartel,Zoo,Zoo,3 to 0,12/12/21,Full,74-89,11,21,1585,319,6761,MG 82,10% Boost,No,HC - TDM,,,,,,,,,,,
,,Apocalypse,,12/12/21,Full,200-161,19,33,3215,558,14723,RPD,10% Boost,No,HC - Domination,,,12,5,7,,,,,,
Armada Strike,Crossroads Strike,Crossroads Strike,4 to 1,12/12/21,Full,181-200,26,34,4160,620,18693,RPD,Double XP + 10%,No,HC - Domination,,,25,17,5,,,,,,
Yamantau,Rush,Rush,3 to 1,12/12/21,Full,170-200,24,25,3095,672,24429,RPD,Double XP + 10%,No,HC - Domination,,,11,8,3,,,,,,
Garrison,Express,Garrison,1 to 0,12/13/21,Full,100-72,24,13,4020,686,23191,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Zoo ,Collateral Strike,Zoo,2 to 2,12/13/21,Full,100-94,17,12,2915,454,18093,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Apocalypse,The Pines,Apocalypse,2 to 2,12/13/21,Full,100-98,26,15,6305,736,24934,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Yamantau,Standoff,Standoff,2 to 0,12/13/21,Full,100-82,10,16,1425,286,16699,RPD,Double XP + 10%,No,HC - TDM,,,,,,,,,,,
Echelon,Apocalypse,Apocalypse,3 to 0,12/14/21,Full,133-250,16,21,3270,448,10564,RPD,10% Boost,No,HC - Hardpoint,,,11,5,1,,,,,,
